Id,Title,pattern,prediction
50690891,why this simple model take large memory usage in tensorflow?,memory leaks,memory leaks
53017722,Input image of a fully quantized tensorflow lite model,quantization,quantization
59265818,Memory leak in Pytorch: object detection,memory leaks,memory leaks
62402825,"How do I read data from large .h5 dataset in batches, preprocess with ImageDataGenerator & model.fit, all without running out of memory?",memory leaks,None
60056812,Change custom loss parameter and NN parameter with respect to epoch,distillation,distillation
48677128,What is the right way to preprocess images in Keras while fine-tuning pre-trained models,pretrained networks,pretrained networks
56774466,How to sum up a value on specific indices in tensorflow,tensor operations,tensor operations
56779949,Unable to go from tf.keras model -> quantized frozen graph -> .tflite with TOCO,quantization,None
44327803,Memory leak with TensorFlow,memory leaks,memory leaks
61858079,"""IndexError: child index out of range ""- converting xml to csv",None,None
51998728,Tensorflow: Masking an array based on duplicated elements of another array,tensor operations,tensor operations
61550788,Is there a way to freeze specific layers in a KerasLayer?,pretrained networks,None
47665314,how can we get benefit from sharding the data to speed the training time?,efficient read write,None
54477157,Usage of k.clear_session() and tf.reset_default_graph() to clear graph between subsequent models,memory leaks,memory leaks
55567838,how to avoid split and sum of pieces in pytorch or numpy,tensor operations,tensor operations
37427786,How do you add new categories and training to a pretrained Inception v3 model in TensorFlow?,pretrained networks,pretrained networks
63302446,Colab+TPU not supporting TF 2.3.0 tf.keras.layers.experimental.preprocessing,pretrained networks,None
50895128,tensorflow: assigning weights after finalizing graph,memory leaks,tensor operations
49271114,Define instance key (index number) for Cloud machine learning prediction,None,None
58711222,How to set prunable layers for tfmot.sparsity.keras.prune_low_magnitude?,pruning,pruning
35644264,How to read data into Tensorflow?,efficient read write,efficient read write
62402825,"How do I read data from large .h5 dataset in batches, preprocess with ImageDataGenerator & model.fit, all without running out of memory?",memory leaks,None
42650003,"Training a dense layer from bottleneck features vs. freezing all layers but the last - should be the same, but they behave differently",pretrained networks,checkpoint
68928299,multiclass sequence classifiaction with fastai and huggingface,distillation,None
61858079,"""IndexError: child index out of range ""- converting xml to csv",None,None
47393991,Initializing variables multiple times in TensorFlow leaks memory,memory leaks,memory leaks
66268742,How do you prevent memory usage to explode when using Keras in a loop,memory leaks,None
43834533,How to quantize the values of tf.Variables in Tensorflow,quantization,quantization
66880262,python multiprocessing start and close processes independently,memory leaks,memory leaks
65729423,Python Error: the following arguments are required: experimentname,None,None
49942110,tf.reset_default_graph memory leak,memory leaks,memory leaks
61715631,memory leak in keras while training a GAN,memory leaks,memory leaks
62558666,convert .pb model into quantized tflite model,quantization,quantization
49081129,"Keras multi_gpu_model error: ""swig/python detected a memory leak of type 'int64_t *', no destructor found""",memory leaks,memory leaks
